consecutivo,entidad_federativa_solicitante,instancia_publica_orden_federal_solicitante,nombre_proyecto,anio_autorizacion,instancia_ejecutora,tipo_proyecto,tipo_fenomeno_01,tipo_fenomeno_2,tipo_fenomeno_3,estatus,personas_beneficiadas,mujeres,hombres,poblacion_indigena,anio_finalizacion,proyecto_estrategico,recurso_fondo_preventivo_federal,recurso_coparticipacion_estatal,costo_total_mxn_peso,pagina_web_instancia_autorizada,ultima_fecha_actualizacion
23,sin dato,Coordinacion Nacional de Proteccion Civil,Observaciones y Correlación de Variables Geodesicas y Geoquimicas para el Volcan Popocatepetl.,2019,Centro Nacional de Prevencion de Desastres,Proyecto Preventivo Estrategico,Geologico (vulcanismo),sin dato,"409,607",En ejecucion,"39,607,741","23,146,510","16,461,231",SD,sin dato,SI,20188000.0,0.0,20188000.0,https://www.cenapred.unam.mx/es/fopreden/ProyectosPreventivos/,2025
24,sin dato,Coordinacion Nacional de Proteccion Civil,"Fortalecimiento de la Red Mareografica de la Secretaria de Marina, que contribuye al cumplimiento de los objetivos fundamentales del Sistema Nacional de Alertas de Tsunamis (SINAT)",2020,Secretaria de Marina,Proyecto Preventivo Estrategico,Geologico (tsunami),sin dato,sin dato,Finalizado,"52,643,917","27,113,432","25,530,485",SD,sin dato,SI,27047905.13,0.0,27047905.13,https://digaohm.semar.gob.mx/oceanografia/fondopreventivo.html,2025
25,sin dato,Coordinacion Nacional de Proteccion Civil,Fortalecimiento de la infraestructura tecnologica del Sistema de Alerta Sismica Mexicano “SASMEX”,2022,Centro Nacional de Prevencion de Desastres,Proyecto Preventivo B Estrategico Inmediato,Geologico (sismo),sin dato,sin dato,Finalizado,"25,782,782","12,377,265","13,405,517","2,093,480",2025.0,SI,64416000.0,0.0,64416000.0,https://www.cenapred.unam.mx/es/fopreden/ProyectosPreventivos/,2025
26,Yucatan,sin dato,"Actualizacion del Atlas de Peligros de Yucatan transitandolo a un Atlas de Riesgos con enfasis en los efectos de vientos fuertes, inundaciones pluviales y hundimientos",2022,Coordinacion Estatal de Proteccion Civil de Yucatan,Proyecto Preventivo A,Geologico (hundimiento),Hidrometeorologico (vientos fuertes e inundacion pluvial),sin dato,Pendiente de inicio,"2,320,898","1,180,619","1,140,279",SD,sin dato,NO,8343602.4,2085900.6,10429503.0,https://www.yucatan.gob.mx/procivy/,2025
27,sin dato,Coordinacion Nacional de Proteccion Civil,Servicio Integral de Envio Masivo de Mensajes CAP-Primera Etapa,2022,Direccion General de Proteccion Civil,Proyecto Preventivo B Estrategico Inmediato,Geologico (sismos),sin dato,sin dato,En ejecucion,"7,379,681","3,865,050","3,514,631",SD,sin dato,SI,65772000.0,0.0,65772000.0,http://www.preparados.gob.mx/proyectos/,2025
28,sin dato,"Secretaria de Infraestructura, Comunicaciones y Transportes","Reduccion de la vulnerabilidad fisica en la cara norte del terraplen de acceso a la Carretera Playas de Tijuana-Ensenada, en el Estado de Baja California",2023,"Secretaria de Infraestructura, Comunicaciones y Transportes",Proyecto Preventivo B Estrategico Inmediato,Geologico (movimiento de ladera),Hidrometeorologico (Lluvia severa),sin dato,Finalizado,"533,372","264,686","268,686",SD,2025.0,SI,75000000.0,0.0,54083976.79,http://www.sct.gob.mx/carreteras/direccion-general-de-carreteras,2025
29,sin dato,Secretaria de Marina,Utilizacion de Vehiculos Aereos No Tripulados (VANT) para la actualizacion de la fase de prevencion del Plan Marina,2023,Secretaria de Marina,Proyecto Preventivo B Estrategico,Hidrometereologico (Tormenta tropical o Huracan en cualquiera de sus categorias),sin dato,sin dato,Finalizado,"12,918,415","6,688,503","6,229,912",SD,2025.0,SI,13159530.37,0.0,13159530.37,https://www.gob.mx/semar/documentos/unidad-naval-de-proteccion-civil-proyecto-fopreden,2025
30,Campeche,sin dato,Actualizacion del Atlas de Riesgos Naturales del Estado de Campeche- Prmera Fase,2023,Secretaria de Proteccion Civil del Poder Ejectuivo del Estado de Campeche (SEPROCI),Proyecto Preventivo A,sin dato,"Hidrometereologico (inundaciones fluviales y pluviales, Marea de tormenta, Vientos fuertes, Onda de Calor)",sin dato,En ejecucion,"928,363","471,424","456,939",SD,sin dato,sin dato,10665668.57,2666417.14,13332085.71,https://seproci.campeche.gob.mx/dictamines-de-riesgos/,2025
30,sin dato,Centro Nacional de Prevencion de Desastres,"Estudio hidrologico e hidraulico de las ciudades de Zacatecas y Guadalupe, para la determinacion del peligro por inundaciones pluviales y fluviales asociadas a lluvia severa",2024,Centro Nacional de Prevencion de Desastres,Proyecto Preventivo C de Investigacion,"hidrometeorologico (lluvia severa, inundacion fluvial y pluvial)",sin dato,sin dato,En ejecucion,"409,607","102,482","109,258",SD,sin dato,NO,7181843.04,0.0,7181843.04,https://www.cenapred.unam.mx/es/fopreden/ProyectosPreventivos/,2025
31,sin dato,"Secretaria de Desarrollo Agrario, Territorial y Urbano",Analisis del riesgo por movimiento de laderas en la zona Nor-poniente del municipio de Chilpancingo de los Bravo en el Estado de Guerrero,2024,"Coordinacion General de Gestion Integral de Riesgos de Desastres, SEDATU",Proyecto Preventivo C de Investigacion,Geologico (movimiento de ladera),sin dato,sin dato,En ejecucion,"23,188","12,290","10,898",SD,sin dato,NO,20784556.23,0.0,20784556.23,https://www.gob.mx/sedatu/documentos/analisis-de-riesgos-en-la-zona-norponiente-chilpancingo-gro?idiom=es,2025
32,sin dato,Coordinacion Nacional de Proteccion Civil,Fortalecimiento de las comunicaciones en la implementacion del Sistema de Comando de Incidentes,2024,Direccion General para la Gestion de Riesgos,Proyecto Preventivo B Estrategico Inmediato,hidrometeorologico (Tormenta Tropical o Huracan en cualquiera de sus categorias),sin dato,sin dato,En ejecucion,"423,094 
","211,293","211, 801",SD,sin dato,SI,24613344.0,0.0,24613344.0,http://dggr.cenapred.unam.mx/portal/datosp,2025
33,Ciudad de Mexico y Estado de Mexico,sin dato,Estudio de Modelacion Geologica para la determinacion de zonas prioritarias y poblacion expuesta al movimiento de laderas en el volcan Cerro del Chiquihuite,2024,Secretaria de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico (SGIRPC) y la Coordinacion General de Proteccion Civil y Gestion Integral del Riesgo del Estado de Mexico,Proyecto Preventivo B Estrategico Inmediato,Geologico (Movimiento de ladera),sin dato,sin dato,Pendiente de inicio,"423,094 
","211,293","211, 801",SD,sin dato,SI,28824000.0,0.0,28824000.0,http://dggr.cenapred.unam.mx/portal/datosp,2025
